"","x"
"1","Thank you #Coles for amazing valentine's day. I bought watermelon few days ago. It was on bench trolley.  Today I was really lucky that I w‚Ä¶"
"2","I just spent $115 @ Woolworths &amp; under their revamped rewards program that gives me zero reward $ Ì†ΩÌ±éÌ†ΩÌ±éÌ†ΩÌ±é#Woolworths. I'll be shopping @ #Coles"
"3","#Job #Australia #Federal Group Restaurant Supervisor &amp;#8211; Saffire Freycinet Full Time in #Coles Bay TAS, https://t.co/mmZcUKlNAc"
"4","@AndrewPStreet @smh Kinder surprise dude shouldn't have been thwarted in his quest for love? Down, Down, Romance is Down... #Coles Fail."
"5","#Coles
#EdadMedia

Lo amo JAJAJAJAJAJAJA &lt;3"
"6","#Job #Australia #Coles Add depth to your FP&amp;amp;A experience Contract in #Victoria, https://t.co/UYjkobnG7o"
"7","#Job #Australia #Coles Customer Service Representative &amp;#8211; Coles Express Mill Park Part Time in #Mill Park VIC, https://t.co/EiRjKFrvw4"
"8","#Job #Australia #Coles Grocery Manager Coles Torquay Full Time in #Victoria, https://t.co/EFjptTeFYd"
"9","These half price Nice &amp; Natural Roasted Nut Bars are the perfect hunger buster.
#Coles #nutbar #lunchbox https://t.co/bohjHtVMFi"
"10","@ALDIAustralia tried the full shop challenge. Learned to start at #Aldi and finish at #Coles. Preference Aldi but stock is unpredictable."
"11","RT ‚ì£CatchaJob_au https://t.co/P1uhDN3U2X #Job #Australia #Coles Store Team Members &amp;#8211; Coles Zetland East Vil‚Ä¶ https://t.co/kAshno71hY"
"12","#Job #Australia #Coles Store Team Members &amp;#8211; Coles Zetland East Village Part Time in #Zetland NSW, https://t.co/AdHmHRBppW"
"13","RT @CFMarketMall: Happy Sunday! This year do more what makes you happy via #Coles. #MyIntention https://t.co/Ee6ieiRf2c"
"14","RT @elbapedrosa: Iniciamos en #Galicia #cambios en #educacion #creatividad en #coles #ni√±osdelfuturo #profeslapelicula @Fcreativacion @ra_r‚Ä¶"
"15","#Job #Australia #Coles Store Team Members &amp;#8211; Coles Collie Part Time in #Collie WA, https://t.co/XUNMF5XpXe"
"16","Hey if my net connected fridge joins #facebook &amp; friends #Coles &amp; #Safeway things could get awkward right?
I'd have to shop at #Aldi"
"17","keyshia cole Wallpaper https://t.co/quu82oX2Cs #Desktop #Wallpapers #Bashorun Jide Omokore #Coles #Videos #New https://t.co/3tFBnm35mA"
"18","@Coles are you trying to kill us?!Nearly chocked on your 'pitted' olives! #olives #coles #supermarket #kalamata https://t.co/RkTm0xWKX3"
"19","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Brisbane South Eastern Suburbs Full Time in #Brisbane QLD, https://t.co/lSWz1JIK0H"
"20","Hey #Coles you're missing an apostrophe. 
colessupermarkets https://t.co/nHjzQJeFrF"
