"","x"
"1","#mydonose 13.02.2016 17:10 #DavidJones #Thriller"
"2","RT @InsideRetailau: #DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"3","RT @InsideRetailau: #DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"4","#DavidJones sales exceed expectations https://t.co/VJ3VxzdvUN https://t.co/VhHRHDePSN"
"5","Valentine's Day gift shopping for mattmagill11 complete ‚úîÔ∏è Ì†ΩÌ∏Ç #davidjones #meetthemagills #love‚Ä¶ https://t.co/d79cW7InCW"
"6","BOWIE - Ode to a musical hero - Ode to the artist - https://t.co/AS36trzfnA via @Etsy #blackstar #bowie #davidjones #brianeno"
"7","The North Coat at the David Jones show. #davidjones #jacandjack @DavidJonesStore https://t.co/RVedWw2S7F"
"8","#GigiHadid #DavidJones #Spring #Summer 2015 #Fashion Launch in #Sydney https://t.co/p4cFTCFmyB https://t.co/RpRazWm7qb"
"9","RT @topbargain: David Jones Clearance - from $0.01..@davidjonesstore #davidjones #sleeve #pants: a Few‚Ä¶ https://t.co/fWL2RN3EI8 https://t.c‚Ä¶"
"10","David Jones Clearance - from $0.01..@davidjonesstore #davidjones #sleeve #pants: a Few‚Ä¶ https://t.co/fWL2RN3EI8 https://t.co/imORlNbEWb"
"11","RT https://t.co/RydMLxBjju Explore a world of beauty at #DavidJones and begin a beautiful career now #clinique #c‚Ä¶ https://t.co/Lo4mchjb6h"
"12","Explore a world of beauty at #DavidJones and begin a beautiful career now #clinique #career #glenwaverley #beauty https://t.co/EQZ6p05qWw"
"13","RT @PallantGallery: .@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr htt‚Ä¶"
"14","Winter is set to be all about dressing for comfort. #DavidJones #SydneyFashion #AusFashion https://t.co/fdUL2SFift"
"15","Should there be more Chinese-focused #advertising in Australia? https://t.co/BuXgz4pDbm #marketing #melbourne #davidjones #branding"
"16","RT @PallantGallery: .@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr htt‚Ä¶"
"17",".@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr https://t.co/TBlsIBasVO"
"18","RT @marce_slow: @SlowFashionNext claro! Todo se regula con la escala de producci√≥n, por lo que se #DavidJones es de una escala menor al del‚Ä¶"
"19","@SlowFashionNext claro! Todo se regula con la escala de producci√≥n, por lo que se #DavidJones es de una escala menor al del com√∫n del retail"
"20","RT @SlowFashionNext: La cadena de grandes almacenes #DavidJones quiere tener todos sus productos #sostenibles https://t.co/BhIEKo1ELu https‚Ä¶"
"21","La cadena de grandes almacenes #DavidJones quiere tener todos sus productos #sostenibles https://t.co/BhIEKo1ELu https://t.co/SiLkevh2dW"
"22","RT @Mi_Adri_Ana: Ì†ΩÌ∏ç#DavidJones CM3075 - –ø—Ä–∏–≤–ª–µ–∫–∞—Ç–µ–ª—å–Ω—ã–π –Ω–µ–±–æ–ª—å—à–æ–π –∂–µ–Ω—Å–∫–∏–π —Ä—é–∫–∑–∞—á–µ–∫ –∏–∑ –ø—Ä–æ—á–Ω–æ–π, –∏–∑–Ω–æ—Å–æ—Å—Ç–æ–π–∫–æ–π —ç–∫–æ-–∫–æ–∂–∏, –≤ –∫–æ—Ç–æ—Ä–æ–º –í—ã –±‚Ä¶ https‚Ä¶"
"23","Ì†ΩÌ∏ç#DavidJones CM3075 - –ø—Ä–∏–≤–ª–µ–∫–∞—Ç–µ–ª—å–Ω—ã–π –Ω–µ–±–æ–ª—å—à–æ–π –∂–µ–Ω—Å–∫–∏–π —Ä—é–∫–∑–∞—á–µ–∫ –∏–∑ –ø—Ä–æ—á–Ω–æ–π, –∏–∑–Ω–æ—Å–æ—Å—Ç–æ–π–∫–æ–π —ç–∫–æ-–∫–æ–∂–∏, –≤ –∫–æ—Ç–æ—Ä–æ–º –í—ã –±‚Ä¶ https://t.co/cu4clFXhpw"
"24","Sales at #DavidJones ( $DJS) better than expected. Read more: https://t.co/tj09IXIUWF"
"25","Sales at #DavidJones ( $DJS) better than expected. Read more: https://t.co/tUdDaljPNv"
"26","Sales at #DavidJones ( $DJS) better than expected. Read more: https://t.co/hNVMj9byLa"
