"","x"
"1","#70sporno #funk #soulmusic #recordcollector #toronto #brampton #haltonhills #miltonon #ebgames‚Ä¶ https://t.co/ISxq7gXK9I"
"2","Best #ValentinesDay gift. Ever.
#deadpool 
#ebgames
#geek
#tinygeek https://t.co/fkcW32fYQ3"
"3","Went to #ebgames to get a Mew code for the #Pokemon 20th anniversary but apparently they ran out and aren't getting more. Disappointing."
"4","Shiiiiit son. As you can see I went to #EBGames and bought 2 packs of the two series of‚Ä¶ https://t.co/1ilQVHROXf"
"5","The only way to play #nintendo #supersmashbros #retaillife #retrogamestores #miltonon #ebgames‚Ä¶ https://t.co/EmPkW4vLPx"
"6","#Stockings w #capes!! Shall i buy...orz #EBgames #sofunny @ Perth, Australia https://t.co/YSZKtAaNBq"
"7","Only 11 more days to get your Mew codes  #pokemon20 #pokemon #151 #gamestop #ebgames #GAME https://t.co/TVXsjbrNAc"
"8","#ebgames #giftcards  Ugh, I have proof, a receipt, of a gift card balance and EB Games is unwilling to honour it.  Don't buy gift cards!"
"9","Part Nine:Priceless
#adventuresofnessandlucas #ebgames #wiiu #ness #lucas #Amiibo #earthbound #DarkSideToyReviews https://t.co/cGSXQdSN6F"
"10","Finally released today Ì†ΩÌ∏çÌ†ΩÌπå 
#ebgames #acchronicles #assassinscreedchronicles #xboxone‚Ä¶ https://t.co/808u2U661O"
"11","RT @PhoenixFlamez07: $25 for a limited edition #Pokemon plush at #EBGames is murder. I get Pokemon will be 20 but to milk us for our money ‚Ä¶"
"12","$25 for a limited edition #Pokemon plush at #EBGames is murder. I get Pokemon will be 20 but to milk us for our money ? there are limits."
"13","RT @xAlex32x: Free Mew code at #EBgames till the 24th! Guess who just got theirs? #gamer #pokemon #pokemon20 https://t.co/tIzCRoCCI6"
"14","Free Mew code at #EBgames till the 24th! Guess who just got theirs? #gamer #pokemon #pokemon20 https://t.co/tIzCRoCCI6"
"15","RT @EBGamesAus: Adorable, adorable I tells ya! 
#squirtle #pokemon #ebgames #videogames #gaming https://t.co/jvWemVBHGg https://t.co/5VefvT‚Ä¶"
"16","RT @EBGamesAus: Adorable, adorable I tells ya! 
#squirtle #pokemon #ebgames #videogames #gaming https://t.co/jvWemVBHGg https://t.co/5VefvT‚Ä¶"
"17","RT @EBGamesAus: Adorable, adorable I tells ya! 
#squirtle #pokemon #ebgames #videogames #gaming https://t.co/jvWemVBHGg https://t.co/5VefvT‚Ä¶"
"18","Worst fucking customer support 
#ebgames"
"19","Chapel street shops are all over Perth's shopping. Kim being cute #Pikachu #ebgames https://t.co/RxkRoTQdES"
"20","#EBGames @ White Oaks Mall London has a stack of Mew promo code cards for Pokemon DS games. #mew‚Ä¶ https://t.co/mNIXHScV3n"
"21","Got em!!!! Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç
#deeznuts #pokemon #mew #gottacatchemall #ebgames #videogames #nintendo #3ds‚Ä¶ https://t.co/Ei6W1zBrSM"
"22","Bought a new plush Mew at Ebgames #pokemon #pokedoll #plush #pokemon20 #mew #ebgames #gamestop https://t.co/L7N3m0IFn8"
"23","Man I guess I am adicted to the Witcher 3 #Witcher3 #ebgames #RPG"
"24","I haven't smoked in over 69 years #weaboo #ebgames #revupthosefryers #undertale #papufranku #911 #anime #autism #da‚Ä¶ https://t.co/pEAQapBaYn"
"25","Totally forgot it's February!! I need to go get mew from #ebgames Ì†ΩÌ∏ÆÌ†ΩÌ∏Æ hopefully they have it still Saturday."
"26","yo, sweet, my place in vancouver is right across an ebgames? coooool."
"27","@thtniguluv2hate i might, but i mean, im asking because im going to buy SF5, and i think i have enough for one more game while im @ ebgames"
"28","@PNPGames Thanks, just asking cause it's soldout everywhere else, stores likes BestBuy and EBGames"
"29","Girl on my bus bought a fucking ghostbusters cup from ebgames lmao"
"30","#StreetFighter V Collector‚Äôs Guide https://t.co/aAqjydNWUA Nintendo amiibo Ryu https://t.co/uaZI2BjsFj #PREORDER https://t.co/QuEDIYFtd0"
"31","@SynergyBonez @sp1ral dude go buy a fucking used copy at ebgames"
"32","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"33","@LoyalPheonix https://t.co/tx7BubRpKg"
"34","OMG. I found this lil' guy @ebgames. So happy to finally have a plushie of mega man to go with my rush and proto man https://t.co/MF1D9GaWF9"
"35","a friend told me ebgames was selling fe conquest when he went today??"
"36","I went to ebgames in Vancouver and look they already put out the display! https://t.co/ubd9ywFFB8"
"37","@kevinparent1 @FrankCourchesne https://t.co/Iry8yl0Y8k"
"38","Aaaaannnnnnyyyyway....
EBgames wasn't 140 for a Link, Controller and a $20 Steam card... Which is the stupidest deal ever."
"39","Assassins creed syndicate est 39,99$ au ebgames sur xbox one. #vgdeals"
"40","Je me demande si √ßa vaut la peine d'aller √©changer au ebgames pour leur √©v√©nement ""vip"".
 Ils donnent quasiment rien d'habitude. #vgdeals"
"41","Take advantage of another EDGE VIP Weekend! Members get 2x trade bonus credit. Ends 2/14.

https://t.co/FTEbMhlyPu https://t.co/77CKd1fuWk"
"42","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"43","@ParnellJaydyn jeeeez at ebgames?"
"44","#70sporno #funk #soulmusic #recordcollector #toronto #brampton #haltonhills #miltonon #ebgames‚Ä¶ https://t.co/ISxq7gXK9I"
"45","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"46","RT @SEGA: The @amazon, @GameStop, and EBGames.CA pre-order links are now live for 7th Dragon III Code: VFD! Pre-order today! https://t.co/s‚Ä¶"
"47","RT @EBGamesCanada: Save $50 on all Xbox One bundles for a limited time!

@Xbox @microsoftcanada

https://t.co/LEcvNSUhAO https://t.co/HG9o6‚Ä¶"
"48","Save $50 on all Xbox One bundles for a limited time!

@Xbox @microsoftcanada

https://t.co/LEcvNSUhAO https://t.co/HG9o66md9F"
"49","RT @SEGA: The @amazon, @GameStop, and EBGames.CA pre-order links are now live for 7th Dragon III Code: VFD! Pre-order today! https://t.co/s‚Ä¶"
"50","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"51","https://t.co/ubiuhQlHuc"
"52","Woah hey guys, welcome to ebgames"
"53","Josh O'Neill &lt;3 :D https://t.co/O2Ei6eV2c0"
"54","@risjvd he works at ebgames"
"55","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"56","EB Games Flyer: EB Games Flyer Deals. Prices May Vary Per Location. For more information please visit EB Games... https://t.co/CjtaZremqS"
"57","https://t.co/ICcDVS3Ybf"
"58","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"59","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"60","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"61","RT @EBGamesCanadaFR: Derni√®re chance d‚Äô√©conomiser sur ces liquidations Xbox One!

https://t.co/anaBFIsY5F https://t.co/OaBrNwibXe"
"62","# ebgames"
"63","RT @EBGamesCanada: We've got the @RockstarGames hit GTA V on sale for $39.99 for a limited time. Save $30.

https://t.co/GuNTWIJVdZ https:/‚Ä¶"
"64","@sub_judice Are they on virtual console? Otherwise I might have to check out EBGames (Gamestop)..."
"65","RT @SEGA: The @amazon, @GameStop, and EBGames.CA pre-order links are now live for 7th Dragon III Code: VFD! Pre-order today! https://t.co/s‚Ä¶"
"66","Now w/EBGames &amp; BestBuy! - Canadian Video Game Deals for the Week of February 11th to February 18th, 2016 https://t.co/UrlevksaLP"
"67","Now w/EBGames &amp; BestBuy! -Canadian Video Game Deals for the Week of February 11th-18th, 2016 https://t.co/uRfcZFhElI https://t.co/QTa44UomAc"
"68","RT @SEGA: The @amazon, @GameStop, and EBGames.CA pre-order links are now live for 7th Dragon III Code: VFD! Pre-order today! https://t.co/s‚Ä¶"
"69","RT @SEGA: The @amazon, @GameStop, and EBGames.CA pre-order links are now live for 7th Dragon III Code: VFD! Pre-order today! https://t.co/s‚Ä¶"
