"","x"
"1","High #pay-out for: Just using your #facebook - https://t.co/F7zgk71s2P"
"2","RT @Sylvain_Mornet: Les sous-titres augmenteraient le temps de vue de la #vidéo de 12 % https://t.co/0wIDUhVHrw #Facebook via @BIUK_Tech ht…"
"3","Senior #Assam cop suspended for anti-Muslim rant on #Facebook  via @htTweets https://t.co/6V20Q37cW6"
"4","RT @IanCleary: Thinking of running a #Facebook contest to build email subscribers? https://t.co/xipAVmGpzO #competition #growth https://t.c…"
"5","If you are serious about #Facebook you'll #love this #nice #cool banner https://t.co/NuBZKwlDGL"
"6","High #pay-out for: Just using your #facebook - https://t.co/OjjeDDQLez"
"7","RT @NealSchaffer: Two Things to Do TODAY to Keep Control of Your Facebook Page. https://t.co/wN5mXvH7fm via @ChristopherBudd #facebook http…"
"8","RT @NBmusicpromo: For more details about ya boi ""N.B""my movement #like my #facebook #fan #page for all #updates https://t.co/s8ePoZfAlz #RT…"
"9","RT @NealSchaffer: Two Things to Do TODAY to Keep Control of Your Facebook Page. https://t.co/wN5mXvH7fm via @ChristopherBudd #facebook http…"
"10","For more info on N.B #Rapper #Singer #Songwriter From #SouthbeachTow season 3 epd. 16,17 add him on  #facebook https://t.co/YeRZnmtEcU"
"11","join @NBrappersanger #facebook #group page if u wanna get a idea on how a #virgo thinks https://t.co/st6hVUazQ9"
"12","#Parkplatz-Sex - Das neue, geile Forum jetzt auf #facebook https://t.co/vQPIU6SmOj
Anschauen und mitmachen!! https://t.co/Ooq8qABU2O"
"13","#facebook vedi di andare un pó a fanculo, va! https://t.co/wnABs3HdCB"
"14","RT @JanDemsar: 5 Ways #Facebook Reactions Could Make #Marketing Difficult  https://t.co/aXWL3nEI3b https://t.co/2MJjEqDsyK"
"15","For more details about ya boi ""N.B""my movement #like my #facebook #fan #page for all #updates https://t.co/s8ePoZfAlz #RT#RT#RT"
"16","#Facebook's war against the freedom of speech: https://t.co/8akIU8EyHg"
"17","Which of your #Facebook posts is pissing people off the most? [Study] https://t.co/2dPqtseJBt"
