"","x"
"1","#WoolmarkPrize #woolworths still looking for a new #CEO"
"2","Valentine's Day deco #woolworths #waverleygardens https://t.co/ej3MMNLV1m"
"3","I just spent $115 @ Woolworths &amp; under their revamped rewards program that gives me zero reward $ Ì†ΩÌ±éÌ†ΩÌ±éÌ†ΩÌ±é#Woolworths. I'll be shopping @ #Coles"
"4","Houston, we have a problem! #somuchcatfood #woolworths #sale #halfprice #stockedup #whiskers‚Ä¶ https://t.co/AWh8OqwobF"
"5","Man finds dead baby chicken in free range egg he bought at #Woolworths #AniBhowmilk https://t.co/LH1u6z3Lvg https://t.co/mCjCDm38HP"
"6","https://t.co/1AvAoi0hD6

#slimerancher #Woolworths #HappyValentinesDay

Hello fellow gamers and shopers. Have a happy Valentines Day."
"7","Best thing I've ever seen for vday! #onlyinaustralia #sydney #woolworths #peelthelove #love‚Ä¶ https://t.co/n1ykGcccaD"
"8","Maybe if @woolworths actually used #Twitter they would understand their customers more. Like @Coles &amp; @ALDIAustralia do.  #Woolworths #asx"
"9","RT @AFrikkinHashtag: Because, the Chuckles! #Woolworths #Chuckles 

#MoreHonestProductSlogans https://t.co/aAHzCZ9W5G"
"10","#Woolworths is on Web9 - https://t.co/GmyLx2KoEI"
"11","#Woolworths is on Web9 - https://t.co/V3Ub1DAqzC"
"12","New rings from Woolies. 

#Pretty #rings #Woolworths #TreatingMyself https://t.co/JRzUyJjw2b"
"13","Just been handed a museum  piece!! #woolworths Ì†æÌ¥í https://t.co/lk22fVDR2k"
"14","I couldn't resist...#BonangForDistraction #Woolworths #MenlynPark @ Menlyn Park Shopping Center,‚Ä¶ https://t.co/7qpRIGNsqi"
"15","Got to love an easy no bake cake.
Thanks Ethan for letting your cousin share your ""Happy Birthday!""
#woolworths #zi‚Ä¶ https://t.co/UxHChbRUEd"
"16","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"17","Are #Woolworths and #Coles about to give us innovation we actually want?
https://t.co/HKFSQAIjta

#Retail #SupplyChain"
"18","Looking for a #ValentinesDay gift? Check out this winner from #Woolworths 
Sure to put a smile on her face :) https://t.co/XMoZzg0HlS"
"19","This is just plain cool. #respect listen up #woolworths and #coles. Love this initiative. #healthy #food https://t.co/lQmDLdM0pV"
"20","Two new faces have joined the #Woolworths board. Find out who: https://t.co/DfrTiUzBzV https://t.co/eB0eDosni2"
"21","Woman complains to #Woolworths because they won't exchange Coles milk https://t.co/0CDBTAj8gu https://t.co/0SH5ZmEBSP"
"22","#Woolworths #supermarkets #Aust under fire from suppliers as ACCC court action proceeds  #duopoly #Corruption    https://t.co/8XIiqvJwQK"
"23","S/o #woolworths for making me look like i know sh*t at home when it comes to food. #18dollardinz #frozenfood4lyf #premadesalads haha Ì†ºÌºö"
"24","Woman complains to #Woolworths because they won't exchange Coles milk https://t.co/lyK37ar9vR https://t.co/LggYJL4dcX"
"25","Wow #woolworths shut in #Avalon @ 10pm on a Friday night #backwards"
"26","#Woolworths No recovery expected for Woolies. Read more: https://t.co/5AQvyTxtiv"
"27","#Woolworths No recovery expected for Woolies. Read more: https://t.co/rxWtibbBGT"
"28","""Woolworths' Everyday Rewards card - Not rewarding at all!"" on @LinkedIn https://t.co/1yUAcKKFdZ @woolworths #woolworths"
"29","This #paprika is changing my life man! Thanks #woolworths! #smoked #spice #flavour #spanish #yum‚Ä¶ https://t.co/BAYcwfG23w"
"30","#woolworths has done it again, just bought some #carrots, got home and realised they are mouldy.‚Ä¶ https://t.co/oMZ6IpCHtJ"
"31","#Woolworths delivers strong profits. Shareholders can choose to take the dividend as scrip. https://t.co/1qRuumt3pZ"
"32","#Coffs Harbour's only commercial #mango #farm is tantalising the taste buds of #Coles &amp; #Woolworths - story on @nbnnews at six #NBNMidNorth"
"33","#woolworths teams with #SydneyTrains for trial click &amp; collect service at Bondi Junction Station https://t.co/IHYECZtACM @produceplus"
"34","Latest company news: #Asciano, #Qube, #Ansell, #Broadspectrum, OFX, #NewHope, #Woolworths | MyWealth CBA https://t.co/b4teQwiu8T"
"35","#Woolworths the ""fresh food people""? https://t.co/pVmIHlIaw2"
"36","RT @Travelwrite1: .@FForensics @WolfkidWookiee @SA_info @EATegrity_Sonia who the heck STILL shops at #Woolworths knowing what we know?!"
"37","RT #Retail experience: #Woolworths en problemas por un queso y una ara√±a https://t.co/gXY8kMDe9X por Suejo"
"38","#Retail experience: #Woolworths en problemas por un queso y una ara√±a https://t.co/Y6OT1I9IjR"
"39","#woolworths thanks for the extra 20% would have been nice if it wasn't rock hard. #madness https://t.co/r8q4fYz1eI"
"40","#currentsituation #movie night #Woolworths popcorn #father&amp;son #unstoppable. #blessed‚Ä¶ https://t.co/Fpu4Ugv4Kr"
"41","#woolworths #blackhistoryofhighpointnc #highpointnc #schoolmural‚Ä¶ https://t.co/fGnzFerdAZ"
"42","#woolworths #fromthesehalls #artmural #sitinmovement #blackhistory‚Ä¶ https://t.co/BWdx6VFYgb"
"43","#ThrowbackThursday - #Woolworths #Buckingham Feb 2005 https://t.co/N4ESMVqShw"
"44","#Woolworths Woolies clothing turnaround starts to pay off. Read more: https://t.co/69G58DqRxg"
"45","#Woolworths Woolies clothing turnaround starts to pay off. Read more: https://t.co/whITaDXrc6"
"46","#valentinesday #woolworths #mallofthenorth https://t.co/P9tdFRo8Yt"
"47","RT @Travelwrite1: .@FForensics @WolfkidWookiee @SA_info @EATegrity_Sonia who the heck STILL shops at #Woolworths knowing what we know?!"
"48","Hey #burgerrings thanks for this fucked up packet of chips and hey #woolworths thanks for‚Ä¶ https://t.co/YPUJOWDbOE"
"49","Ì†ºÌ∂ï #Coles &amp; #Woolworths #auspol 
https://t.co/XCx9d9uDpQ https://t.co/v7fp5smEvB"
"50",".@FForensics @WolfkidWookiee @SA_info @EATegrity_Sonia who the heck STILL shops at #Woolworths knowing what we know?!"
"51","AD | That‚Äôs correct! Apply now for approval with #Woolworths Financial Services https://t.co/QJBw2F3Tl5 https://t.co/txHFRtGsb8"
"52","Woohoo! Thank you #Woolworths Earn&amp;Learn arrived today...girls will have fun in our Code&amp; Robotics Club https://t.co/rCjefi8How"
"53","#Woolworths' interim dividend climbs more than 30%. Read more: https://t.co/IADKkVQPS2"
"54","#Woolworths' interim dividend climbs more than 30%. Read more: https://t.co/nIs4ps8AMQ"
"55","#Woolworths share price 6% lower after half year results announcement. #Retail https://t.co/3O8OPaQDoD"
"56","$WHL.SJ comes out with decent results 30% higher HEPS, Sales up 17% but the share price getting a 7% whack this morning. #Woolworths"
"57","#Woolworths earnings up 47%. Good hedge move on Davey Jones.  https://t.co/X50ShSStFc"
"58","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"59","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"60","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"61","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"62","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"63","RT @Moneyweb: #Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"64","#Woolworths H1 HEPS up 30.6% Interim dividend up 37.8% to 133 cents per share. https://t.co/Xm8lO03Pch"
"65","#WOOLWORTHS : Interim Group results, cash dividend declaration/scrip distribut... https://t.co/zDNxQ2MKzI $WHLJ"
"66","RT @how_to_trade_sa: $JSEWHL #Woolworths Symmetrical triangle, results incoming https://t.co/aaE9DKcGXf"
"67","#Woolworths trials click and collect and Bondi Junction Station via @C_and_IRetail  https://t.co/VcC6pt8P5B"
"68","#WOOLWORTHShttps://t.co/oyuGVk6COP"
"69","#Woolworths launches click &amp; collect trial at train stations #grocerynews #clickandcollect https://t.co/xAj6x3wk76 https://t.co/gWKHvlCeTG"
"70","#Woolworths Food retailers become aggressive to keep tills ringing. Read more: https://t.co/uW8yRReXyj"
"71","#Woolworths Food retailers become aggressive to keep tills ringing. Read more: https://t.co/jPhoMR1JHU"
"72","VIDEO: Woolworths High Street Penge 1988. Very busy store back then. https://t.co/n2M2fTsUBv #penge #woolworths https://t.co/6KAvXa0kLU"
"73","#Woolworths Masters merry-go-round spins on. Read more: https://t.co/Lgmdx4abfL"
"74","#Woolworths Masters merry-go-round spins on. Read more: https://t.co/BGpwgTti3d"
"75","Wesfarmers : #Woolworths' bright idea ... that wasn't . Read more: https://t.co/ashXsw2DqK"
"76","Wesfarmers : #Woolworths' bright idea ... that wasn't . Read more: https://t.co/XftbkbJ1eM"
"77","It's official, #MCFC are the best team in Europe. 
#uefa #fifa #PremierLeague #LigaBBVA #OneDirection #woolworths https://t.co/SD59YeZtJL"
"78","Our Earn &amp; Learn prizes arrived this week and the kids are extremely pleased! #woolworths https://t.co/Y3Mk5eizKt"
"79","5% Off Woolworths WISH eGift Card

#Woolworths #BigW #DanMurphys #Masters #BWS https://t.co/gfO3Kwv7dx"
"80","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"81","I am rewarding YOU with my custom, this is missing the point, not rewarding for MY LOYALTY #woolworths https://t.co/nQSzMp2GWC"
"82","One of these days I should step into #Woolworths Food just to see the stuff I work with on the shelves..."
"83","#Woolworths Woolies grocery trial will make shopping easier. Read more: https://t.co/2QMuEOY2i5"
"84","#Woolworths Woolies grocery trial will make shopping easier. Read more: https://t.co/t1j9qOo2f2"
"85","Woolworths - Smash Neon Stealth Bottle 500ml 2pk $0.75 (Was $5).. #woolworths #smash‚Ä¶ https://t.co/vfw9lsesui https://t.co/b6SXIu5E4M"
"86","Take a QBE domestic policy &amp; get #woolworths WISHcard #wednesdaywisdom https://t.co/96ZY3xn0Da"
